Row Labels,Count of code
3x3 Basketball,16
Archery,57
Artistic Gymnastics,24
Artistic Swimming,28
Athletics,142
Badminton,49
Basketball,24
Beach Volleyball,48
Canoe Sprint,99
Cycling Track,73
Diving,32
Equestrian,51
Fencing,48
Football,28
Handball,24
Hockey,24
Judo,19
Rhythmic Gymnastics,14
Rowing,158
Rugby Sevens,24
Sailing,78
Shooting,71
Swimming,370
Table Tennis,48
Tennis,84
Triathlon,16
Volleyball,24
Water Polo,22
Grand Total,1695
